ID;Lat;Long;USERS_TOT;USERS_O;USERS_G;USERS_FS;USERS_MAM;primary;tree_ri;ghm;heght;psri;npp;vcf;notho_ri;biomass;BIOMA
5416;-4795577.641;-8068079.646;20.150795;8.716081;7.82421;4.237333;2.851767;2.778595;11.086328;0.210618;19.22082;-0.029795;13926.07692;37.435897;2.473039;68.244573;2
5417;-4795577.641;-8028597.426;9.948395;3.966509;2.989702;2.452811;1.560843;1.931484;9.824111;0.174579;19.272809;-0.080669;9711.820513;76.641026;2.339578;165.271528;2
5418;-4795577.641;-7989115.206;14.352587;5.927562;5.055328;3.346882;2.104976;2.577963;11.274479;0.186858;19.20061;-0.072783;11564.02564;70.923077;2.889529;121.828138;2
5419;-4795577.641;-7949632.985;9.328093;4.055645;4.308823;1.751698;1.211046;1.7349;6.285234;0.149584;10.563771;-0.025908;5000.025641;25.538462;2.418915;67.683585;2
5430;-4787979.284;-8147044.087;26.410127;11.261601;10.752128;5.415055;3.719611;3.557884;11.745197;0.202257;9.925115;-0.096696;12607.47368;44.210526;1.740511;54.965195;2
5431;-4787979.284;-8107561.867;17.569179;7.538085;6.187683;3.897483;2.92474;2.512397;10.46205;0.200283;20.137192;-0.054171;15665.85;61.75;1.76981;102.995068;2
5432;-4787979.284;-8081240.387;16.730926;6.910865;5.492492;3.782272;3.332358;2.365325;12.656647;0.189578;22.509117;-0.030727;12125.61539;78.666667;2.426254;110.611569;2
5433;-4787979.284;-8054918.906;21.318699;9.189694;8.801295;4.342767;3.203365;2.748233;9.827432;0.356485;10.144786;-0.034501;11621.02632;22.763158;2.498718;52.741688;2
5434;-4787979.284;-8015436.686;10.666105;4.391709;3.326277;2.657698;1.511742;2.139921;9.318978;0.174641;14.96632;-0.081374;9178.5;73.5;2.131761;167.215254;2
5435;-4787979.284;-7975954.466;12.59656;5.075805;4.410213;2.82708;1.891775;2.360915;9.294954;0.07639;16.982309;-0.070972;9717.973684;70.184211;2.710996;126.108141;2
5436;-4787979.284;-7936472.245;18.03058;7.447474;8.03256;3.278755;2.651714;2.689203;7.777202;0.222683;10.375279;-0.025358;5031.825;15.05;2.737992;30.43231;2
5446;-4780380.927;-8133883.347;25.427588;11.078851;10.734892;5.0661;3.634565;3.235133;9.190552;0.317674;7.376163;-0.017625;13451.76316;28.921053;1.327467;37.865641;2
5447;-4780380.927;-8094401.127;16.889594;6.877844;5.465531;3.847469;3.359546;2.656741;13.338974;0.181051;24.109234;-0.065464;10585.95;78.225;2.571714;109.458167;2
5448;-4780380.927;-8068079.646;20.147504;8.620849;7.974341;4.079803;2.94296;2.763981;10.755322;0.227075;12.308785;-0.03515;13491.94737;35.605263;2.543377;62.790904;2
5449;-4780380.927;-8041758.166;20.725201;8.86179;8.105396;4.344526;2.989685;2.857048;10.4692;0.298886;11.706487;-0.04774;13338.58974;40.923077;2.355266;70.253748;2
5450;-4780380.927;-8002275.946;14.428373;5.880443;4.837073;3.397298;2.268549;2.656027;11.49724;0.207465;23.050421;-0.085696;11006.775;75.475;2.694584;127.838159;2
